numero de Delitos,INTEGRIDADSEXUAL
Enero 2020,0
Febrero 2020,0
marzo 2020,0
Abril 2020,0
Mayo 2020,0
Junio 2020,1
Julio 2020,1
Agosto 2020,0
Septiembre 2020,0
Octubre 2020,3
Noviembre 2020,0
Diciembre 2020,0
Enero 2021,0
Febrero 2021,1
marzo 2021,0
Abril 2021,0
Mayo 2021,0
Junio 2021,0
Julio 2021,0
Agosto 2021,0
Septiembre 2021,0
Octubre 2021,0
Noviembre 2021,1
Diciembre 2021,0
Enero 2022,0
Febrero 2022,2
marzo 2022,0
Abril 2022,1
Mayo 2022,0
Junio 2022,0
Julio 2022,1
Agosto 2022,0
Septiembre 2022,0
Octubre 2022,0
Noviembre 2022,1
Diciembre 2022,0
Enero 2023,0
Febrero 2023,0
marzo 2023,0
Abril 2023,1
Mayo 2023,0
Junio 2023,0
Julio 2023,2
Agosto 2023,1
Septiembre 2023,1
Octubre 2023,0
Noviembre 2023,1
Diciembre 2023,0
Enero 2024,1
Febrero 2024,1
marzo 2024,0
Abril 2024,1
Mayo 2024,0
Junio 2024,0
